"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","150.171.109.115","10.1.3.206","TLSv1.2","93","Application Data"
"2","0.000000000","150.171.109.115","10.1.3.206","TLSv1.2","78","Application Data"
"3","0.000000000","150.171.109.115","10.1.3.206","TCP","60","443  >  55698 [FIN, ACK] Seq=64 Ack=1 Win=145 Len=0"
"4","0.000200100","10.1.3.206","150.171.109.115","TCP","54","55698  >  443 [ACK] Seq=1 Ack=64 Win=253 Len=0"
"5","0.000251400","10.1.3.206","150.171.109.115","TCP","54","55698  >  443 [ACK] Seq=1 Ack=65 Win=253 Len=0"
"6","0.085848000","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"7","0.085947500","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"8","0.086002500","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"9","0.086033800","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"10","0.086052800","10.1.3.206","104.18.32.47","UDP","997","52579  >  443 Len=955"
"11","0.086404000","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"12","0.086479500","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"13","0.086502500","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"14","0.086520900","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"15","0.086539200","10.1.3.206","104.18.32.47","UDP","997","52579  >  443 Len=955"
"16","0.094755000","104.18.32.47","10.1.3.206","UDP","66","443  >  52579 Len=24"
"17","0.098380100","104.18.32.47","10.1.3.206","UDP","67","443  >  52579 Len=25"
"18","0.105135900","104.18.32.47","10.1.3.206","UDP","1242","443  >  52579 Len=1200"
"19","0.105135900","104.18.32.47","10.1.3.206","UDP","1242","443  >  52579 Len=1200"
"20","0.105135900","104.18.32.47","10.1.3.206","UDP","516","443  >  52579 Len=474"
"21","0.108620500","104.18.32.47","10.1.3.206","UDP","1242","443  >  52579 Len=1200"
"22","0.108620500","104.18.32.47","10.1.3.206","UDP","1242","443  >  52579 Len=1200"
"23","0.108620500","104.18.32.47","10.1.3.206","UDP","1242","443  >  52579 Len=1200"
"24","0.108620500","104.18.32.47","10.1.3.206","UDP","883","443  >  52579 Len=841"
"25","0.109172900","10.1.3.206","104.18.32.47","UDP","87","52579  >  443 Len=45"
"26","0.113306600","10.1.3.206","104.18.32.47","UDP","88","52579  >  443 Len=46"
"27","0.252834700","10.1.3.206","20.85.130.105","TCP","55","53695  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"28","0.262026200","20.85.130.105","10.1.3.206","TCP","66","443  >  53695 [ACK] Seq=1 Ack=2 Win=71 Len=0 SLE=1 SRE=2"
"29","0.535375600","150.171.109.114","10.1.3.206","TLSv1.2","93","Application Data"
"30","0.535375600","150.171.109.114","10.1.3.206","TLSv1.2","78","Application Data"
"31","0.535375600","150.171.109.114","10.1.3.206","TCP","60","443  >  59800 [FIN, ACK] Seq=64 Ack=1 Win=148 Len=0"
"32","0.535516600","10.1.3.206","150.171.109.114","TCP","54","59800  >  443 [ACK] Seq=1 Ack=64 Win=511 Len=0"
"33","0.535552200","10.1.3.206","150.171.109.114","TCP","54","59800  >  443 [ACK] Seq=1 Ack=65 Win=511 Len=0"
"34","0.535705000","10.1.3.206","150.171.109.114","TCP","54","59800  >  443 [FIN, ACK] Seq=1 Ack=65 Win=511 Len=0"
"35","0.544542300","150.171.109.114","10.1.3.206","TCP","60","443  >  59800 [ACK] Seq=65 Ack=2 Win=148 Len=0"
"36","0.774537800","10.1.3.206","23.48.203.106","UDP","71","59152  >  443 Len=29"
"37","0.819099400","10.1.3.206","23.48.203.106","UDP","71","59152  >  443 Len=29"
"38","0.832455500","23.48.203.106","10.1.3.206","UDP","67","443  >  59152 Len=25"
"39","0.833180100","23.48.203.106","10.1.3.206","UDP","69","443  >  59152 Len=27"
"40","0.839510200","10.1.3.206","13.89.179.10","TLSv1.2","133","Application Data"
"41","0.839565600","10.1.3.206","13.89.179.10","TLSv1.2","862","Application Data"
"42","0.879254900","13.89.179.10","10.1.3.206","TCP","60","443  >  54397 [ACK] Seq=1 Ack=888 Win=16381 Len=0"
"43","0.954042600","13.89.179.10","10.1.3.206","TLSv1.2","154","Application Data"
"44","1.007368300","10.1.3.206","13.89.179.10","TCP","54","54397  >  443 [ACK] Seq=888 Ack=101 Win=253 Len=0"
"45","1.724786500","10.1.3.206","104.18.39.21","TLSv1.2","143","Application Data"
"46","1.769412100","104.18.39.21","10.1.3.206","TLSv1.2","132","Application Data"
"47","1.792366900","10.1.3.206","172.253.63.102","UDP","531","61881  >  443 Len=489"
"48","1.800342500","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"49","1.800406200","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"50","1.800430600","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"51","1.800452500","10.1.3.206","104.18.32.47","UDP","1292","52579  >  443 Len=1250"
"52","1.800478800","10.1.3.206","104.18.32.47","UDP","1052","52579  >  443 Len=1010"
