"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.97","140.82.113.3","TCP","62","49374  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM"
"2","0.020239900","140.82.113.3","192.168.0.97","TCP","62","443  >  49374 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM"
"3","0.020281600","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.020522200","192.168.0.97","140.82.113.3","TCP","1490","49374  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1436 [TCP PDU reassembled in 5]"
"5","0.020522200","192.168.0.97","140.82.113.3","TLSv1.3","338","Client Hello (SNI=github.com)"
"6","0.044120100","140.82.113.3","192.168.0.97","TCP","54","443  >  49374 [ACK] Seq=1 Ack=1721 Win=65535 Len=0"
"7","0.045266000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Server Hello, Change Cipher Spec, Application Data"
"8","0.045696000","140.82.113.3","192.168.0.97","TCP","1490","443  >  49374 [PSH, ACK] Seq=1437 Ack=1721 Win=65535 Len=1436 [TCP PDU reassembled in 9]"
"9","0.045696000","140.82.113.3","192.168.0.97","TLSv1.3","276","Application Data, Application Data, Application Data"
"10","0.045713000","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=1721 Ack=3095 Win=64620 Len=0"
"11","0.047096900","192.168.0.97","140.82.113.3","TLSv1.3","118","Change Cipher Spec, Application Data"
"12","0.047215900","192.168.0.97","140.82.113.3","TLSv1.3","146","Application Data"
"13","0.047255000","192.168.0.97","140.82.113.3","TLSv1.3","970","Application Data"
"14","0.070655800","140.82.113.3","192.168.0.97","TLSv1.3","133","Application Data"
"15","0.071317900","140.82.113.3","192.168.0.97","TLSv1.3","133","Application Data"
"16","0.071331100","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2793 Ack=3253 Win=64462 Len=0"
"17","0.072097800","140.82.113.3","192.168.0.97","TLSv1.3","118","Application Data"
"18","0.072150800","192.168.0.97","140.82.113.3","TLSv1.3","85","Application Data"
"19","0.139006600","140.82.113.3","192.168.0.97","TCP","54","443  >  49374 [ACK] Seq=3317 Ack=2824 Win=65535 Len=0"
"20","0.465102200","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"21","0.466317000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"22","0.466333000","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=6189 Win=64620 Len=0"
"23","0.468054000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"24","0.468054000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"25","0.468054000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"26","0.468054000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"27","0.468095200","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=11933 Win=64620 Len=0"
"28","0.469700500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"29","0.469700500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"30","0.469700500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"31","0.469700500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"32","0.469747100","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=17677 Win=64620 Len=0"
"33","0.484082000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"34","0.484082000","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"35","0.484122900","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=20549 Win=64620 Len=0"
"36","0.484163200","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"37","0.484163200","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"38","0.484163200","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"39","0.484163200","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"40","0.484182000","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=26293 Win=64620 Len=0"
"41","0.484243800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"42","0.484243800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"43","0.484243800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"44","0.484243800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data, Application Data"
"45","0.484265100","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=32037 Win=64620 Len=0"
"46","0.484349100","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"47","0.484349100","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"48","0.484349100","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"49","0.484349100","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"50","0.484368900","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=37781 Win=64620 Len=0"
"51","0.484518800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"52","0.484518800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"53","0.484518800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"54","0.484518800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"55","0.484518800","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"56","0.484518800","140.82.113.3","192.168.0.97","TLSv1.3","1049","Application Data, Application Data"
"57","0.484544300","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=2824 Ack=45956 Win=64620 Len=0"
"58","0.689977800","192.168.0.97","140.82.113.3","TLSv1.3","999","Application Data"
"59","0.690961000","192.168.0.97","140.82.113.3","TLSv1.3","232","Application Data"
"60","0.691537400","192.168.0.97","140.82.113.3","TLSv1.3","194","Application Data"
"61","0.692182000","192.168.0.97","140.82.113.3","TLSv1.3","195","Application Data"
"62","0.692210700","192.168.0.97","140.82.113.3","TLSv1.3","169","Application Data"
"63","0.692358000","192.168.0.97","140.82.113.3","TLSv1.3","165","Application Data"
"64","0.707505900","140.82.113.3","192.168.0.97","TCP","60","443  >  49374 [ACK] Seq=45956 Ack=3769 Win=65535 Len=0"
"65","0.715753500","140.82.113.3","192.168.0.97","TCP","60","443  >  49374 [ACK] Seq=45956 Ack=3947 Win=65535 Len=0"
"66","0.715753500","140.82.113.3","192.168.0.97","TCP","60","443  >  49374 [ACK] Seq=45956 Ack=4087 Win=65535 Len=0"
"67","0.715753500","140.82.113.3","192.168.0.97","TCP","60","443  >  49374 [ACK] Seq=45956 Ack=4228 Win=65535 Len=0"
"68","0.715753500","140.82.113.3","192.168.0.97","TCP","60","443  >  49374 [ACK] Seq=45956 Ack=4343 Win=65535 Len=0"
"69","0.715753500","140.82.113.3","192.168.0.97","TCP","60","443  >  49374 [ACK] Seq=45956 Ack=4454 Win=65535 Len=0"
"70","0.745594500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"71","0.745594500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"72","0.745635700","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=4454 Ack=48828 Win=64620 Len=0"
"73","0.746370600","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"74","0.746370600","140.82.113.3","192.168.0.97","TLSv1.3","1287","Application Data"
"75","0.746408000","192.168.0.97","140.82.113.3","TCP","54","49374  >  443 [ACK] Seq=4454 Ack=51497 Win=64620 Len=0"
"76","0.747981700","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"77","0.748500500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
"78","0.748500500","140.82.113.3","192.168.0.97","TLSv1.3","1490","Application Data"
