"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.1.3.206","64.233.180.99","TCP","55","55155  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"2","0.010440300","64.233.180.99","10.1.3.206","TCP","66","443  >  55155 [ACK] Seq=1 Ack=2 Win=1044 Len=0 SLE=1 SRE=2"
"3","0.034833800","10.1.3.206","140.82.114.22","TLSv1.2","133","Application Data"
"4","0.034971200","10.1.3.206","140.82.114.22","TLSv1.2","16460","Application Data"
"5","0.035044100","10.1.3.206","140.82.114.22","TLSv1.2","5375","Application Data"
"6","0.043573100","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=1 Ack=1516 Win=111 Len=0"
"7","0.043839400","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=1 Ack=16486 Win=140 Len=0"
"8","0.043839400","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=1 Ack=21807 Win=150 Len=0"
"9","0.044557100","140.82.114.22","10.1.3.206","TLSv1.2","102","Application Data"
"10","0.085636400","140.82.114.22","10.1.3.206","TLSv1.2","544","Application Data"
"11","0.085793300","10.1.3.206","140.82.114.22","TCP","54","65354  >  443 [ACK] Seq=21807 Ack=539 Win=255 Len=0"
"12","0.117625700","10.1.3.206","150.171.27.11","TCP","55","65125  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"13","0.126707200","150.171.27.11","10.1.3.206","TCP","66","443  >  65125 [ACK] Seq=1 Ack=2 Win=16381 Len=0 SLE=1 SRE=2"
"14","0.887117200","10.1.3.206","23.48.203.107","UDP","71","58135  >  443 Len=29"
"15","0.897838600","23.48.203.107","10.1.3.206","UDP","67","443  >  58135 Len=25"
"16","1.313218100","10.1.3.206","140.82.114.22","TLSv1.2","133","Application Data"
"17","1.313350000","10.1.3.206","140.82.114.22","TLSv1.2","16460","Application Data"
"18","1.313402900","10.1.3.206","140.82.114.22","TLSv1.2","4821","Application Data"
"19","1.322189700","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=539 Ack=24758 Win=156 Len=0"
"20","1.322189700","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=539 Ack=27630 Win=161 Len=0"
"21","1.322189700","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=539 Ack=31938 Win=162 Len=0"
"22","1.322512000","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=539 Ack=43059 Win=152 Len=0"
"23","1.322804100","140.82.114.22","10.1.3.206","TLSv1.2","102","Application Data"
"24","1.351079300","140.82.114.22","10.1.3.206","TLSv1.2","544","Application Data"
"25","1.351236700","10.1.3.206","140.82.114.22","TCP","54","65354  >  443 [ACK] Seq=43059 Ack=1077 Win=253 Len=0"
"26","1.676348700","10.1.3.206","140.82.114.22","TLSv1.2","132","Application Data"
"27","1.676439600","10.1.3.206","140.82.114.22","TLSv1.2","7709","Application Data"
"28","1.676647700","10.1.3.206","140.82.113.4","TLSv1.2","553","Application Data"
"29","1.685102000","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=1077 Ack=44573 Win=164 Len=0"
"30","1.685408200","140.82.114.22","10.1.3.206","TCP","60","443  >  65354 [ACK] Seq=1077 Ack=50792 Win=163 Len=0"
"31","1.685808800","140.82.114.22","10.1.3.206","TLSv1.2","102","Application Data"
"32","1.695731500","140.82.114.22","10.1.3.206","TLSv1.2","544","Application Data"
"33","1.695812700","10.1.3.206","140.82.114.22","TCP","54","65354  >  443 [ACK] Seq=50792 Ack=1615 Win=251 Len=0"
"34","1.725855700","140.82.113.4","10.1.3.206","TCP","60","443  >  53903 [ACK] Seq=1 Ack=500 Win=90 Len=0"
"35","1.936391600","10.1.3.206","40.79.150.122","TLSv1.2","138","Application Data"
"36","1.936485100","10.1.3.206","40.79.150.122","TLSv1.2","1479","Application Data"
"37","2.028180700","40.79.150.122","10.1.3.206","TCP","60","443  >  55972 [ACK] Seq=1 Ack=1510 Win=16385 Len=0"
"38","2.029683000","40.79.150.122","10.1.3.206","TLSv1.2","154","Application Data"
"39","2.084277900","10.1.3.206","40.79.150.122","TCP","54","55972  >  443 [ACK] Seq=1510 Ack=101 Win=254 Len=0"
"40","2.405449200","140.82.113.4","10.1.3.206","TLSv1.2","1490","Application Data"
"41","2.405449200","140.82.113.4","10.1.3.206","TLSv1.2","1490","Application Data"
"42","2.405449200","140.82.113.4","10.1.3.206","TLSv1.2","1490","Application Data"
"43","2.405449200","140.82.113.4","10.1.3.206","TLSv1.2","1490","Application Data"
"44","2.405449200","140.82.113.4","10.1.3.206","TLSv1.2","1490","Application Data"
"45","2.405449200","140.82.113.4","10.1.3.206","TLSv1.2","1490","Application Data"
