"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.1.3.206","20.50.201.206","TCP","66","64064  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.086914900","20.50.201.206","10.1.3.206","TCP","66","443  >  64064 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"3","0.087058500","10.1.3.206","20.50.201.206","TCP","54","64064  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.087747000","10.1.3.206","20.50.201.206","TLSv1.3","1991","Client Hello (SNI=functional.events.data.microsoft.com)"
"5","0.164043000","10.1.3.206","57.144.74.192","TLSv1.2","86","Application Data"
"6","0.172274800","57.144.74.192","10.1.3.206","TCP","60","443  >  62246 [ACK] Seq=1 Ack=33 Win=311 Len=0"
"7","0.174455100","20.50.201.206","10.1.3.206","TCP","60","443  >  64064 [ACK] Seq=1 Ack=1938 Win=4194560 Len=0"
"8","0.176724000","20.50.201.206","10.1.3.206","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"9","0.177567400","10.1.3.206","20.50.201.206","TLSv1.3","837","Change Cipher Spec, Client Hello (SNI=functional.events.data.microsoft.com)"
"10","0.272717600","20.50.201.206","10.1.3.206","TLSv1.3","1514","Server Hello"
"11","0.272717600","20.50.201.206","10.1.3.206","TCP","1514","443  >  64064 [ACK] Seq=1560 Ack=2721 Win=4193792 Len=1460 [TCP PDU reassembled in 14]"
"12","0.272717600","20.50.201.206","10.1.3.206","TCP","1514","443  >  64064 [ACK] Seq=3020 Ack=2721 Win=4193792 Len=1460 [TCP PDU reassembled in 14]"
"13","0.272717600","20.50.201.206","10.1.3.206","TCP","1514","443  >  64064 [ACK] Seq=4480 Ack=2721 Win=4193792 Len=1460 [TCP PDU reassembled in 14]"
"14","0.272717600","20.50.201.206","10.1.3.206","TLSv1.3","472","Application Data"
"15","0.272888000","10.1.3.206","20.50.201.206","TCP","54","64064  >  443 [ACK] Seq=2721 Ack=3020 Win=65280 Len=0"
"16","0.272937100","10.1.3.206","20.50.201.206","TCP","54","64064  >  443 [ACK] Seq=2721 Ack=5940 Win=65280 Len=0"
"17","0.273022000","57.144.74.192","10.1.3.206","TLSv1.2","82","Application Data"
"18","0.274966800","10.1.3.206","20.50.201.206","TLSv1.3","128","Application Data"
"19","0.275108900","10.1.3.206","20.50.201.206","TLSv1.3","146","Application Data"
"20","0.275248100","10.1.3.206","20.50.201.206","TLSv1.3","494","Application Data"
"21","0.275281600","10.1.3.206","20.50.201.206","TLSv1.3","858","Application Data"
"22","0.327841100","10.1.3.206","57.144.74.192","TCP","54","62246  >  443 [ACK] Seq=33 Ack=29 Win=251 Len=0"
"23","0.361761400","20.50.201.206","10.1.3.206","TCP","60","443  >  64064 [ACK] Seq=6358 Ack=2887 Win=4193536 Len=0"
"24","0.362057900","20.50.201.206","10.1.3.206","TCP","60","443  >  64064 [ACK] Seq=6358 Ack=4131 Win=4194560 Len=0"
"25","0.372979400","20.50.201.206","10.1.3.206","TLSv1.3","157","Application Data"
"26","0.372979400","20.50.201.206","10.1.3.206","TLSv1.3","116","Application Data"
"27","0.373137500","10.1.3.206","20.50.201.206","TCP","54","64064  >  443 [ACK] Seq=4131 Ack=6523 Win=64768 Len=0"
"28","0.373365100","10.1.3.206","20.50.201.206","TLSv1.3","85","Application Data"
"29","0.459847500","20.50.201.206","10.1.3.206","TLSv1.3","366","Application Data, Application Data"
"30","0.511763000","10.1.3.206","20.50.201.206","TCP","54","64064  >  443 [ACK] Seq=4162 Ack=6835 Win=64512 Len=0"
"31","0.631867500","20.50.201.206","10.1.3.206","TCP","60","443  >  64064 [ACK] Seq=6835 Ack=4162 Win=4194304 Len=0"
"32","0.648136500","10.1.3.206","57.144.74.145","TLSv1.2","1751","Application Data"
"33","0.656336200","57.144.74.145","10.1.3.206","TCP","60","443  >  64430 [ACK] Seq=1 Ack=1698 Win=808 Len=0"
"34","0.677872700","57.144.74.145","10.1.3.206","TLSv1.2","86","Application Data"
"35","0.697555300","57.144.74.145","10.1.3.206","TLSv1.2","97","Application Data"
