"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","2600:1408:ec00:98b::2506","TCP","1514","49419  >  443 [ACK] Seq=1 Ack=1 Win=64800 Len=1440 [TCP PDU reassembled in 3]"
"2","0.000000000","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","2600:1408:ec00:98b::2506","TCP","1514","49419  >  443 [ACK] Seq=1441 Ack=1 Win=64800 Len=1440 [TCP PDU reassembled in 3]"
"3","0.000000000","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","2600:1408:ec00:98b::2506","TLSv1.2","885","Application Data"
"4","0.049689800","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","74","443  >  49419 [ACK] Seq=1 Ack=3692 Win=65535 Len=0"
"5","0.199860200","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TLSv1.2","1370","Application Data"
"6","0.200420000","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=1297 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"7","0.200420000","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=2737 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"8","0.200420000","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=4177 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"9","0.200420000","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=5617 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"10","0.200446100","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","2600:1408:ec00:98b::2506","TCP","74","49419  >  443 [ACK] Seq=3692 Ack=7057 Win=64800 Len=0"
"11","0.201056000","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=7057 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"12","0.201056000","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=8497 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"13","0.201056000","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [PSH, ACK] Seq=9937 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"14","0.201093800","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","2600:1408:ec00:98b::2506","TCP","74","49419  >  443 [ACK] Seq=3692 Ack=11377 Win=64800 Len=0"
"15","0.201350400","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=11377 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"16","0.201350400","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=12817 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"17","0.201350400","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=14257 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
"18","0.201350400","2600:1408:ec00:98b::2506","2600:8805:3c0a:8a00:a406:d8f:f43b:e801","TCP","1514","443  >  49419 [ACK] Seq=15697 Ack=3692 Win=65535 Len=1440 [TCP PDU reassembled in 19]"
