"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","23.39.184.192","192.168.0.97","TLSv1.2","93","Application Data"
"2","0.000378800","23.39.184.192","192.168.0.97","TLSv1.2","78","Application Data"
"3","0.000378800","23.39.184.192","192.168.0.97","TCP","54","443  >  49927 [FIN, ACK] Seq=64 Ack=1 Win=65535 Len=0"
"4","0.000409200","192.168.0.97","23.39.184.192","TCP","54","49927  >  443 [ACK] Seq=1 Ack=65 Win=63563 Len=0"
"5","0.198134400","23.39.184.192","192.168.0.97","TLSv1.2","93","Application Data"
"6","0.198727700","23.39.184.192","192.168.0.97","TLSv1.2","78","Application Data"
"7","0.198727700","23.39.184.192","192.168.0.97","TCP","54","443  >  49931 [FIN, ACK] Seq=64 Ack=1 Win=65535 Len=0"
"8","0.198747600","192.168.0.97","23.39.184.192","TCP","54","49931  >  443 [ACK] Seq=1 Ack=65 Win=63571 Len=0"
"9","6.750650700","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1460 [TCP PDU reassembled in 13]"
"10","6.750650700","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=1461 Ack=1 Win=64240 Len=1460 [TCP PDU reassembled in 13]"
"11","6.750650700","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=2921 Ack=1 Win=64240 Len=1460 [TCP PDU reassembled in 13]"
"12","6.750650700","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=4381 Ack=1 Win=64240 Len=1460 [TCP PDU reassembled in 13]"
"13","6.750650700","192.168.0.97","23.39.184.192","TLSv1.2","1510","Application Data"
"14","6.750706800","192.168.0.97","23.39.184.192","TLSv1.2","93","Application Data"
"15","6.767191800","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=1 Ack=4381 Win=65535 Len=0"
"16","6.773270100","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=1 Ack=7297 Win=65535 Len=0"
"17","6.813434400","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=1 Ack=7336 Win=65535 Len=0"
"18","6.846124800","23.39.184.192","192.168.0.97","TLSv1.2","93","Application Data"
"19","6.891563100","192.168.0.97","23.39.184.192","TCP","54","49928  >  443 [ACK] Seq=7336 Ack=40 Win=64201 Len=0"
"20","7.035592000","23.39.184.192","192.168.0.97","TCP","1514","443  >  49928 [ACK] Seq=40 Ack=7336 Win=65535 Len=1460 [TCP PDU reassembled in 21]"
"21","7.036498500","23.39.184.192","192.168.0.97","TLSv1.2","980","Application Data"
"22","7.036498500","23.39.184.192","192.168.0.97","TLSv1.2","535","Application Data"
"23","7.036519800","192.168.0.97","23.39.184.192","TCP","54","49928  >  443 [ACK] Seq=7336 Ack=2907 Win=64240 Len=0"
"24","7.037888700","192.168.0.97","23.39.184.192","TLSv1.2","89","Application Data"
"25","7.051585400","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=2907 Ack=7371 Win=65535 Len=0"
"26","7.057678900","23.39.184.192","192.168.0.97","TCP","60","[TCP Dup ACK 25#1] 443  >  49928 [ACK] Seq=2907 Ack=7371 Win=65535 Len=0"
"27","9.852955800","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=7371 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 31]"
"28","9.852955800","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=8831 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 31]"
"29","9.852955800","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=10291 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 31]"
"30","9.852955800","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=11751 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 31]"
"31","9.852955800","192.168.0.97","23.39.184.192","TLSv1.2","1499","Application Data"
"32","9.869591900","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=2907 Ack=10291 Win=65535 Len=0"
"33","9.869874100","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=2907 Ack=13211 Win=65535 Len=0"
"34","9.877946500","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=2907 Ack=14656 Win=65535 Len=0"
"35","9.986789100","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=14656 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 39]"
"36","9.986789100","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=16116 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 39]"
"37","9.986789100","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=17576 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 39]"
"38","9.986789100","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=19036 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 39]"
"39","9.986789100","192.168.0.97","23.39.184.192","TLSv1.2","1496","Application Data"
"40","10.003851800","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=2907 Ack=16116 Win=65535 Len=0"
"41","10.003851800","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=2907 Ack=19036 Win=65535 Len=0"
"42","10.004260600","23.39.184.192","192.168.0.97","TCP","60","443  >  49928 [ACK] Seq=2907 Ack=21938 Win=65535 Len=0"
"43","10.110278600","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=21938 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 47]"
"44","10.110278600","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=23398 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 47]"
"45","10.110278600","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=24858 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 47]"
"46","10.110278600","192.168.0.97","23.39.184.192","TCP","1514","49928  >  443 [ACK] Seq=26318 Ack=2907 Win=64240 Len=1460 [TCP PDU reassembled in 47]"
