"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","162.247.243.29","10.1.26.108","TLSv1.2","94","Application Data"
"2","0.020671000","162.247.243.29","10.1.26.108","TLSv1.2","94","Application Data"
"3","0.038987200","162.247.243.29","10.1.26.108","TLSv1.2","94","Application Data"
"4","0.048160600","162.247.243.29","10.1.26.108","TLSv1.2","94","Application Data"
"5","0.415775900","10.1.3.206","13.89.178.26","TLSv1.2","137","Application Data"
"6","0.415845500","10.1.3.206","13.89.178.26","TLSv1.2","906","Application Data"
"7","0.455437900","13.89.178.26","10.1.3.206","TCP","60","443  >  55448 [ACK] Seq=1 Ack=936 Win=16385 Len=0"
"8","0.457263600","13.89.178.26","10.1.3.206","TLSv1.2","154","Application Data"
"9","0.458001800","10.1.3.206","13.89.178.26","TLSv1.2","89","Application Data"
"10","0.584028800","34.111.80.193","10.1.42.225","TLSv1.2","143","Application Data"
"11","0.591701700","13.89.178.26","10.1.3.206","TCP","60","443  >  55448 [ACK] Seq=101 Ack=971 Win=16384 Len=0"
"12","1.337106300","57.144.50.144","10.3.14.153","TLSv1.2","94","Application Data"
"13","2.865692100","162.247.243.29","10.2.37.140","TLSv1.2","94","Application Data"
"14","2.865692100","162.247.243.29","10.2.37.140","TCP","70","443  >  52956 [FIN, ACK] Seq=25 Ack=1 Win=283 Len=0 TSval=1002884916 TSecr=3129309956"
"15","2.866360500","162.247.243.29","10.2.37.140","TLSv1.2","94","Application Data"
"16","2.866360500","162.247.243.29","10.2.37.140","TCP","70","443  >  52957 [FIN, ACK] Seq=25 Ack=1 Win=277 Len=0 TSval=3379837716 TSecr=4233411671"
"17","2.893738400","162.247.243.29","10.2.37.140","TCP","70","[TCP Retransmission] 443  >  52957 [FIN, ACK] Seq=25 Ack=1 Win=277 Len=0 TSval=3379837744 TSecr=4233411671"
"18","2.893738400","162.247.243.29","10.2.37.140","TCP","70","[TCP Retransmission] 443  >  52956 [FIN, ACK] Seq=25 Ack=1 Win=283 Len=0 TSval=1002884945 TSecr=3129309956"
"19","3.112764500","162.247.243.29","10.2.37.140","TCP","94","[TCP Retransmission] 443  >  52957 [FIN, PSH, ACK] Seq=1 Ack=1 Win=277 Len=24 TSval=3379837963 TSecr=4233411671"
"20","3.112764500","162.247.243.29","10.2.37.140","TCP","94","[TCP Retransmission] 443  >  52956 [FIN, PSH, ACK] Seq=1 Ack=1 Win=283 Len=24 TSval=1002885164 TSecr=3129309956"
"21","3.456225800","162.247.243.29","10.1.26.108","TCP","94","[TCP Retransmission] 443  >  53248 [FIN, PSH, ACK] Seq=1 Ack=1 Win=277 Len=24 TSval=4158284411 TSecr=545591320"
"22","3.475623200","162.247.243.29","10.1.26.108","TCP","94","[TCP Retransmission] 443  >  53246 [FIN, PSH, ACK] Seq=1 Ack=1 Win=277 Len=24 TSval=1338036555 TSecr=2572533625"
"23","3.495011900","162.247.243.29","10.1.26.108","TCP","94","[TCP Retransmission] 443  >  53247 [FIN, PSH, ACK] Seq=1 Ack=1 Win=277 Len=24 TSval=3078175094 TSecr=4022171496"
"24","3.504253200","162.247.243.29","10.1.26.108","TCP","94","[TCP Retransmission] 443  >  53249 [FIN, PSH, ACK] Seq=1 Ack=1 Win=278 Len=24 TSval=2826082602 TSecr=2890953363"
"25","3.543892500","162.247.243.29","10.2.37.140","TCP","94","[TCP Retransmission] 443  >  52957 [FIN, PSH, ACK] Seq=1 Ack=1 Win=277 Len=24 TSval=3379838394 TSecr=4233411671"
"26","3.544939200","162.247.243.29","10.2.37.140","TCP","94","[TCP Retransmission] 443  >  52956 [FIN, PSH, ACK] Seq=1 Ack=1 Win=283 Len=24 TSval=1002885596 TSecr=3129309956"
"27","3.549789400","10.1.3.206","20.230.171.39","TLSv1.2","4512","Application Data"
"28","3.549853100","10.1.3.206","20.230.171.39","TLSv1.2","1632","Application Data"
"29","3.550272000","10.1.3.206","23.39.184.192","TLSv1.2","7149","Application Data"
"30","3.550334100","10.1.3.206","23.39.184.192","TLSv1.2","93","Application Data"
"31","3.559674300","23.39.184.192","10.1.3.206","TCP","60","443  >  58444 [ACK] Seq=1 Ack=1461 Win=673 Len=0"
"32","3.559674300","23.39.184.192","10.1.3.206","TCP","60","443  >  58444 [ACK] Seq=1 Ack=7096 Win=644 Len=0"
"33","3.559674300","23.39.184.192","10.1.3.206","TCP","60","443  >  58444 [ACK] Seq=1 Ack=7135 Win=644 Len=0"
"34","3.560158000","23.39.184.192","10.1.3.206","TLSv1.2","93","Application Data"
"35","3.611549400","23.39.184.192","10.1.3.206","TLSv1.2","423","Application Data"
"36","3.611645200","10.1.3.206","23.39.184.192","TCP","54","58444  >  443 [ACK] Seq=7135 Ack=409 Win=510 Len=0"
"37","3.633286500","20.230.171.39","10.1.3.206","TCP","60","443  >  60087 [ACK] Seq=1 Ack=2921 Win=554 Len=0"
"38","3.633286500","20.230.171.39","10.1.3.206","TCP","60","443  >  60087 [ACK] Seq=1 Ack=4459 Win=554 Len=0"
"39","3.633580300","20.230.171.39","10.1.3.206","TCP","60","443  >  60087 [ACK] Seq=1 Ack=6037 Win=554 Len=0"
"40","3.645481300","20.230.171.39","10.1.3.206","TLSv1.2","1425","Application Data"
"41","3.698482700","10.1.3.206","20.230.171.39","TCP","54","60087  >  443 [ACK] Seq=6037 Ack=1372 Win=250 Len=0"
"42","3.880290700","10.1.3.206","23.207.139.66","TCP","66","49393  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"43","3.888649200","23.207.139.66","10.1.3.206","TCP","66","443  >  49393 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"44","3.888736500","10.1.3.206","23.207.139.66","TCP","54","49393  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"45","3.889183800","10.1.3.206","23.207.139.66","TLSv1.2","2076","Client Hello (SNI=b.wal.co)"
"46","3.897483500","23.207.139.66","10.1.3.206","TCP","60","443  >  49393 [ACK] Seq=1 Ack=2023 Win=68224 Len=0"
"47","3.897684400","23.207.139.66","10.1.3.206","TLSv1.2","204","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"48","3.899120700","10.1.3.206","23.207.139.66","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"49","3.907275000","23.207.139.66","10.1.3.206","TCP","60","443  >  49393 [ACK] Seq=151 Ack=2074 Win=68224 Len=0"
"50","4.407856200","162.247.243.29","10.2.37.140","TCP","94","[TCP Retransmission] 443  >  52957 [FIN, PSH, ACK] Seq=1 Ack=1 Win=277 Len=24 TSval=3379839258 TSecr=4233411671"
"51","4.440908100","162.247.243.29","10.2.37.140","TCP","94","[TCP Retransmission] 443  >  52956 [FIN, PSH, ACK] Seq=1 Ack=1 Win=283 Len=24 TSval=1002886492 TSecr=3129309956"
"52","5.543362800","10.1.3.206","13.89.178.26","TLSv1.2","138","Application Data"
"53","5.543427300","10.1.3.206","13.89.178.26","TLSv1.2","1545","Application Data"
"54","5.583114600","13.89.178.26","10.1.3.206","TCP","60","443  >  55448 [ACK] Seq=101 Ack=2546 Win=16385 Len=0"
"55","5.593554000","13.89.178.26","10.1.3.206","TLSv1.2","154","Application Data"
"56","5.594433000","10.1.3.206","13.89.178.26","TLSv1.2","89","Application Data"
"57","5.779091800","13.89.178.26","10.1.3.206","TCP","60","443  >  55448 [ACK] Seq=201 Ack=2581 Win=16384 Len=0"
"58","5.918400900","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=409 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 62]"
"59","5.918400900","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=1869 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 62]"
"60","5.918400900","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=3329 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 62]"
"61","5.918400900","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=4789 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 62]"
"62","5.918400900","23.39.184.192","10.1.3.206","TLSv1.2","532","Application Data"
"63","5.918581000","10.1.3.206","23.39.184.192","TCP","54","58444  >  443 [ACK] Seq=7135 Ack=3329 Win=511 Len=0"
"64","5.918620300","10.1.3.206","23.39.184.192","TCP","54","58444  >  443 [ACK] Seq=7135 Ack=6249 Win=511 Len=0"
"65","5.918679100","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=6727 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"66","5.918679100","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=8187 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"67","5.918679100","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=9647 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"68","5.918679100","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=11107 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"69","5.918679100","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=12567 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"70","5.918679100","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [PSH, ACK] Seq=14027 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"71","5.918916600","10.1.3.206","23.39.184.192","TCP","54","58444  >  443 [ACK] Seq=7135 Ack=8187 Win=511 Len=0"
"72","5.918947800","10.1.3.206","23.39.184.192","TCP","54","58444  >  443 [ACK] Seq=7135 Ack=11107 Win=511 Len=0"
"73","5.918968000","10.1.3.206","23.39.184.192","TCP","54","58444  >  443 [ACK] Seq=7135 Ack=14027 Win=511 Len=0"
"74","5.919528400","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=15487 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"75","5.919528400","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=16947 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"76","5.919528400","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=18407 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
"77","5.919528400","23.39.184.192","10.1.3.206","TCP","1514","443  >  58444 [ACK] Seq=19867 Ack=7135 Win=673 Len=1460 [TCP PDU reassembled in 79]"
